Year,State,Sex,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
2023,Alabama,Female,289.0,11913.0,646.0,95.0,19.0,856.0
2023,Alabama,Male,356.0,12931.0,818.0,122.0,16.0,1061.0
2023,Arizona,Female,347.0,14523.0,852.0,164.0,17.0,1051.0
2023,Arizona,Male,454.0,17307.0,1115.0,207.0,32.0,1393.0
2023,Arkansas,Female,199.0,7431.0,491.0,66.0,10.0,634.0
2023,Arkansas,Male,205.0,8147.0,566.0,74.0,15.0,710.0
2023,California,Female,1675.0,61764.0,4359.0,650.0,90.0,5467.0
2023,California,Male,1978.0,69599.0,5300.0,862.0,95.0,6497.0
2023,Colorado,Female,238.0,9300.0,496.0,86.0,29.0,677.0
2023,Colorado,Male,303.0,10708.0,612.0,116.0,30.0,828.0
2023,Connecticut,Female,227.0,7273.0,535.0,67.0,22.0,715.0
2023,Connecticut,Male,208.0,7159.0,575.0,77.0,10.0,716.0
2023,Delaware,Female,88.0,2255.0,128.0,27.0,0.0,192.0
2023,Delaware,Male,83.0,2426.0,150.0,30.0,0.0,207.0
2023,Florida,Female,1335.0,48641.0,3342.0,610.0,125.0,4185.0
2023,Florida,Male,1510.0,55380.0,4031.0,772.0,119.0,4878.0
2023,Georgia,Female,565.0,19309.0,1030.0,194.0,38.0,1436.0
2023,Georgia,Male,568.0,20447.0,1161.0,212.0,28.0,1543.0
2023,Idaho,Female,69.0,3401.0,171.0,31.0,19.0,228.0
2023,Idaho,Male,83.0,3786.0,180.0,36.0,12.0,238.0
2023,Illinois,Female,619.0,24042.0,1355.0,222.0,51.0,1799.0
2023,Illinois,Male,624.0,25572.0,1478.0,233.0,32.0,1898.0
2023,Indiana,Female,405.0,14608.0,965.0,129.0,52.0,1290.0
2023,Indiana,Male,407.0,15170.0,1035.0,170.0,30.0,1301.0
2023,Iowa,Female,195.0,7020.0,356.0,43.0,25.0,533.0
